k ;x_k ;y_k ;z_k ;x_k+1 ;y_k+1 ;z_k+1 ;|x_k+1 - x_k| ;|y_k+1 - y_k| ;|z_k+1 - z_k| ;sum
0	;4	;5	;6	;3.16667	;3.66667	;3.5	;0.833333	;1.33333	;2.5	;4.66667
1	;3.16667	;3.66667	;3.5	;1.90278	;3.11111	;3.58333	;1.26389	;0.555556	;0.0833333	;1.90278
2	;1.90278	;3.11111	;3.58333	;1.84491	;2.91435	;4.07639	;0.0578704	;0.196759	;0.493056	;0.747685
3	;1.84491	;2.91435	;4.07639	;2.01755	;2.98688	;4.05613	;0.172647	;0.0725309	;0.0202546	;0.265432
4	;2.01755	;2.98688	;4.05613	;2.0212	;3.01228	;3.98794	;0.00364905	;0.0253987	;0.0681906	;0.0972383
5	;2.0212	;3.01228	;3.98794	;1.99702	;3.00152	;3.99247	;0.0241796	;0.0107569	;0.00452514	;0.0394617
6	;1.99702	;3.00152	;3.99247	;1.99712	;2.99825	;4.00187	;9.26551e-05	;0.00327575	;0.00940059	;0.012769
7	;1.99712	;2.99825	;4.00187	;2.00049	;2.99983	;4.001	;0.00337095	;0.00158221	;0.000865265	;0.00581842
8	;2.00049	;2.99983	;4.001	;2.00039	;3.00025	;3.99971	;9.68258e-05	;0.000417615	;0.00128992	;0.00180437
9	;2.00039	;3.00025	;3.99971	;1.99992	;3.00002	;3.99987	;0.000467866	;0.000231125	;0.000152817	;0.000851808

0	;4	;5	;6	;3.16667	;3.66667	;3.5	;0.833333	;1.33333	;2.5	;4.66667
1	;3.16667	;3.66667	;3.5	;1.90278	;3.11111	;3.58333	;1.26389	;0.555556	;0.0833333	;1.90278
2	;1.90278	;3.11111	;3.58333	;1.84491	;2.91435	;4.07639	;0.0578704	;0.196759	;0.493056	;0.747685
3	;1.84491	;2.91435	;4.07639	;2.01755	;2.98688	;4.05613	;0.172647	;0.0725309	;0.0202546	;0.265432
4	;2.01755	;2.98688	;4.05613	;2.0212	;3.01228	;3.98794	;0.00364905	;0.0253987	;0.0681906	;0.0972383
5	;2.0212	;3.01228	;3.98794	;1.99702	;3.00152	;3.99247	;0.0241796	;0.0107569	;0.00452514	;0.0394617
6	;1.99702	;3.00152	;3.99247	;1.99712	;2.99825	;4.00187	;9.26551e-05	;0.00327575	;0.00940059	;0.012769
7	;1.99712	;2.99825	;4.00187	;2.00049	;2.99983	;4.001	;0.00337095	;0.00158221	;0.000865265	;0.00581842
8	;2.00049	;2.99983	;4.001	;2.00039	;3.00025	;3.99971	;9.68258e-05	;0.000417615	;0.00128992	;0.00180437
9	;2.00039	;3.00025	;3.99971	;1.99992	;3.00002	;3.99987	;0.000467866	;0.000231125	;0.000152817	;0.000851808
10	;1.99992	;3.00002	;3.99987	;1.99995	;2.99996	;4.00004	;2.51527e-05	;5.25083e-05	;0.000176152	;0.000253813
11	;1.99995	;2.99996	;4.00004	;2.00001	;3	;4.00002	;6.46452e-05	;3.35508e-05	;2.57034e-05	;0.000123899
12	;2.00001	;3	;4.00002	;2.00001	;3	;3.99999	;5.11797e-06	;6.4903e-06	;2.39349e-05	;3.55432e-05
13	;2.00001	;3	;3.99999	;2	;3	;4	;8.89117e-06	;4.84215e-06	;4.18156e-06	;1.79149e-05
14	;2	;3	;4	;2	;3	;4	;9.35292e-07	;7.84934e-07	;3.23505e-06	;4.95527e-06

0	;4	;5	;6	;3.16667	;3.52778	;3.54861	;0.833333	;1.47222	;2.45139	;4.75694
1	;3.16667	;3.52778	;3.54861	;1.89988	;2.90808	;4.02708	;1.26678	;0.619695	;0.478467	;2.36495
2	;1.89988	;2.90808	;4.02708	;1.99596	;3.00384	;4.00298	;0.0960789	;0.0957577	;0.0241	;0.215937
3	;1.99596	;3.00384	;4.00298	;2.00188	;3.00081	;3.99926	;0.00591795	;0.00303034	;0.00371656	;0.0126649
4	;2.00188	;3.00081	;3.99926	;1.99983	;2.99985	;4.00005	;0.00205362	;0.000961697	;0.000786388	;0.00380171
5	;1.99983	;2.99985	;4.00005	;1.99999	;3.00001	;4	;0.000167379	;0.000158961	;4.39491e-05	;0.000370289

k ;x_k	;y_k ;z_k ;R_x(k) ;R_y(k) ;R_z(k) ;max|R(k)|
1	;4	;5;	6	;-0.833333	;-1.33333;	-2.5;	2.5
2	;4	;5;	3.5	;-1.875	;-1.75;	0;	1.875
3	;2.125	;5;	3.5	;2.22045e-16	;-2.0625;	0.9375;	2.0625
4	;2.125	;2.9375;	3.5	;-0.34375	;1.11022e-16;	0.421875;	0.421875
5	;2.125	;2.9375;	3.92188	;-0.167969	;0.0703125;	0;	0.167969
6	;1.95703	;2.9375;	3.92188	;0	;0.0423177;	0.0839844;	0.0839844
7	;1.95703	;2.9375;	4.00586	;0.0349935	;0.0563151;	0;	0.0563151
8	;1.95703	;2.99382;	4.00586	;0.0443793	;1.11022e-16;	0.0140788;	0.0443793
9	;2.00141	;2.99382;	4.00586	;2.22045e-16	;0.00739656;	-0.00811089;	0.00811089
10	;2.00141	;2.99382;	3.99775	;-0.00337954	;0.00604474;	1.11022e-16;	0.00604474
11	;2.00141	;2.99986;	3.99775	;-0.00237208	;-2.22045e-16;	0.00151119;	0.00237208
12	;1.99904	;2.99986;	3.99775	;-2.22045e-16	;-0.000395347;	0.00269723;	0.00269723
13	;1.99904	;2.99986;	4.00045	;0.00112384	;5.41907e-05;	1.11022e-16;	0.00112384
14	;2.00016	;2.99986;	4.00045	;2.22045e-16	;0.000241498;	-0.000561922;	0.000561922

k ;x_k	;y_k ;z_k ;R_x(k) ;R_y(k) ;R_z(k) ;max|R(k)|
1	;4	;5;	6	;-0.833333	;-1.33333;	-2.5;	2.5
2	;4	;5;	3.5	;-1.875	;-1.75;	0;	1.875
3	;2.125	;5;	3.5	;2.22045e-16	;-2.0625;	0.9375;	2.0625
4	;2.125	;2.9375;	3.5	;-0.34375	;1.11022e-16;	0.421875;	0.421875
5	;2.125	;2.9375;	3.92188	;-0.167969	;0.0703125;	0;	0.167969
6	;1.95703	;2.9375;	3.92188	;0	;0.0423177;	0.0839844;	0.0839844
7	;1.95703	;2.9375;	4.00586	;0.0349935	;0.0563151;	0;	0.0563151
8	;1.95703	;2.99382;	4.00586	;0.0443793	;1.11022e-16;	0.0140788;	0.0443793
9	;2.00141	;2.99382;	4.00586	;2.22045e-16	;0.00739656;	-0.00811089;	0.00811089
10	;2.00141	;2.99382;	3.99775	;-0.00337954	;0.00604474;	1.11022e-16;	0.00604474
11	;2.00141	;2.99986;	3.99775	;-0.00237208	;-2.22045e-16;	0.00151119;	0.00237208
12	;1.99904	;2.99986;	3.99775	;-2.22045e-16	;-0.000395347;	0.00269723;	0.00269723
13	;1.99904	;2.99986;	4.00045	;0.00112384	;5.41907e-05;	1.11022e-16;	0.00112384
14	;2.00016	;2.99986;	4.00045	;2.22045e-16	;0.000241498;	-0.000561922;	0.000561922
15	;2.00016	;2.99986;	3.99988	;-0.000234134	;0.000147844;	-2.22045e-16;	0.000234134
16	;1.99993	;2.99986;	3.99988	;-2.22045e-16	;0.000108822;	0.000117067;	0.000117067
17	;1.99993	;2.99986;	4	;4.8778e-05	;0.000128333;	-1.11022e-16;	0.000128333
18	;1.99993	;2.99999;	4	;7.01668e-05	;-1.11022e-16;	3.20833e-05;	7.01668e-05
19	;2	;2.99999;	4	;2.22045e-16	;1.16945e-05;	-3.00012e-06;	1.16945e-05
20	;2	;3;	4	;1.94908e-06	;1.11022e-16;	-7.65007e-08;	1.94908e-06
